,Summary,Adventure,Angst,Crime,Drama,Family,Fantasy,Friendship,General,Horror,Humor,Hurt_Comfort,Mystery,Parody,Poetry,Romance,Sci_Fi,Spiritual,Supernatural,Suspense,Tragedy,Western
0,"Something goes awry during a trip through the Well, and Kagome is stranded in the distant past where she encounters a familiar face. When a very young Sesshoumaru decides to keep her, the consequences ripple through time. SK. COMPLETE.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"The well was supposed to be stable. It was supposed to send her to Inuyasha. And it failed. Now, Kagome's even farther into the past and she must depend on a young Sesshoumaru, who has no idea of what their shared future holds. But neither does Kagome.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CU. More than Sesshoumaru's pride took a blow when he lost his arm. He's in a delicate position... and desperate enough to seek the advice of a self-proclaimed expert. A clumsy romantic adventure told in 100-word snippets.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"If men are from Mars and women are from Venus, what galaxy are youkai from? Because Kagome would really like to know. SessKag oneshot.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"COMPLETE. A story told through a series of drabbles and oneshots, tracing the slow and steady progress of trust. Sesshoumaru x Kagome, CU.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Kagome had been attuned to youkai blades from the very beginning. That the blades formed from the Dog General's fangs took a fancy to her was likely a product of the deceased Inutaisho's unusual fondness for human females: What a daiyoukai wants, he gets.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Kagome is saved by Sesshomaru. Unfortunately for the young miko, Sesshomaru’s version of chivalry includes having her impaled by Tenseiga and thrown down a mystic well. But that is only the first of our miko’s problems. SessKag",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"AU. Kagome is stunned to learn that she has inherited a sizable fortune, a Japanese estate, and an indentured youkai. She's the unlikely heiress, and Sesshoumaru is the perfect butler. SK. COMPLETE.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Kagome has a problem, a very big problem. Inuyasha would kill her if he knew, hell, Sesshomaru would help. Really what could she say to them? 'Your fathers ghost is stalking me, trying to make me save Sesshomaru's life'...that's not going to go over well",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"The Shikon Jewel is complete. Kagome thinks she has crafted the perfect unselfish wish - the consequences of which are far reaching. Finding herself forever changed, she unwittingly turns to Sesshoumaru for help. Youkai!Kagome/Sess. A seven time award winning fic now being edited and crossposted.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,The story of how one tiny child led a human-hating youkai Lord and a pure-hearted miko to love - all through the medium of her favorite thing... flowers. Second place on Dokuga for Best Kagome port. and Third Best Romance.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"[Complete] AU. IYKag. Kagome is down on her luck, so when she rubs the bottle of the Genie Inuyasha, she thinks her life has changed for the better.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"His howls haunted his castle and with nothing to do, his subjects call upon Kagome to subdue their lord. Rin has died and her death causes Sesshoumaru to loose himself to his beast. While subduing the Western Lord, Kagome inadvertently binds herself to the taiyoukai, making herself Lady of the West, and suffers all the perks and downsides of being human royalty in a demonic court.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13,"Misplaced somewhere I did not belong to, in a body that should have never been mine, I could only wait for the world to finally stop turning. [SI, Self-Insert/OC-Insert as Sesshomaru's daughter.]",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,From the moment he saw her he knew she was his - too bad they'd decided she was meant for someone else.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"A mad fairy's scheme to melt the ice heart of Sesshoumaru, and poor Kagome is caught in the middle. Now she is chained to Sesshoumaru and the only thing that can break it is for the heart of ice to melt",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,In which Kagome gets bitten a great deal. It's hard being delicious. SessKag oneshot.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"AU. Mrs. Higurashi decides to help her daughter put her life together; enter Sesshoumaru, professional organizer extraordinaire. A romantic comedy told in 100 word snippets. COMPLETE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Kagome's broken Inuyasa's rosary! But fear not! Kaede has another one. But what's this? KAGOME HAS TO PUT IT ON HIM HERSELF? Watch Kagome carry out her kinda evil plots on an unsuspecting halfbreed with some SangoMiroku spying on the side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"AU. Everyone knows that a hanyou comes from the union of a human and a youkai. In this case, the union of a human and a youkai is brought about by a hanyou. Sesshoumaru x Kagome. Valentine's Day Oneshot.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"Coincidences just don't happen to Kagome, so when she repeatedly comes across a certain lord on her spontaneous runs, she questions Fate's plan.[SK]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Complete Kikyo's a nurse, Miroku's a surgeon (the hands on sort), Inuyasha's a doctor, Sango's the peskiest patient in the world and Shippo is a kid who 'doesn't talk', and kagome has 28 days to live. And this is a humour fic?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"[COMPLETE] Kagome agrees to help out Sango when Kohaku falls ill. She'll take Sango's babysitting job in exchange for a big favor sometime. Only one problem, Sango forgot to tell Kagome who she's babysitting for. Will it be love or hate at first sight?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"After Naraku's death, Kagome returned to her time forever, where she mourns her losses. An older Sesshoumaru offers a deal - a comfortable and secure marriage in return for a child. They'll never love anyone - including each other - again, right?",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"[AU] Kagome and Kikyou Higurashi, rivals in every way, both find themselves in love with their King. But when a man at court brings Kikyou's scandalous past with him and threatens her life, Kagome must choose between old loyalty and a passionate new love.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Kaze, a professional spiritualist and Kagome's cousin, had just returned home to the Higurashi Shrine. The plan had been to relax and kick back for a while. Well, that was the plan, until her cousin dragged her 500 years back in time, an evil hanyou decided to try and kill her, and a powerful Daiyoukai decided to take her as his mate! SESSHOMARU X OC! FOLLOWS MAIN PLOT!",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
