,Summary,Adventure,Angst,Drama,Family,Friendship,Humor,Hurt_Comfort,Romance
0,"Naruto has a different team and a very different sensei. What will change? What will stay the same? Not very good summary, but better story. Pairings decided by vote. NaruSakuIno. Read and review! Note: adopted by Saito namikaze and Shauni2420.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,"Naruto confronts Kakashi about his blatant favoritism towards Sasuke, and the response Kakashi gives him was somewhat surprising. Kakashi was a ninja afterall.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,"Madara tracks down Naruto find out the answer to a very important question: Just how is he so persuasive? Initially reluctant, Naruto agrees if Madara explains his own powers of persuasion. Needless to say, the explanations just make them more confused.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,AU. There was a time when he wanted nothing more than to have a friend. Now his only goal is to go home. Naruto and Gaara friendship story. Its NOT yaoi.,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,"NaruHina. Fluff, angst, drama, and a whole lot of sappy romance. Stir well. A story that spans 10 special events in Naruto and Hinata’s lives. Written for the Thirty Kisses community on Live Journal. theme #10 #10 Rated for mild cursing and implied sex",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,"A Kami sacrifices herself for Konoha and chooses to resurrect as a human. The Nara clan had always taken care of Konoha-hime, they won't stop after she saved them all.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,"Supposedly killed in an Akatsuki attack, no one knows what to think when Naruto is later found still alive but mentally shattered and dangerously close to losing control over Kyuubi. Can Sasuke save his friend or is Naruto doomed to darkness? COMPLETE!",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,"It was Naruto they never bothered to look underneath the facade. Naruto held a deep secret that if certain people knew, would be there to cause pain Naruto hid the fact that 'he' was actually a girl and decided to live her life properly as she was always meant to.but Tsunade informed her it was to dangerous and wait til she turned 17.what will happen when she falls without knowing?",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8,"A thwarted kidnapping attempt, an assumption, and a little helpful push gone wrong, has Hinata in tears of frustration. Gaara can only sigh as he gets dragged into this mess. He's never meddling in someone's love life again. Stupid Leaf Ninjas.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,"Naruto’s sudden concern over the state of Sasuke’s… stuff… leads to a series of matchmaking dates, which in turn lead Sasuke to realizing just who his ideal bride is.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,"One day after a mission Iruka decides to take in Naruto Uzumaki. What could possibly go wrong? Well... it looks like Naruto just turned off his personal gravity. Oh, and Shisui is prone to sugar highs. Who would've guessed?",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11,What if their was more to Naruto's ungodly chakra reserves and abysmal control than just Uzumaki heritage and being a jinchuriki? What if he had a long forgoteen legacy from his father. Naruto/Fem Haku,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,"Getting transported- reincarnated if you will- into the Naruto-verse, as an Uchiha no less, was... unexpected. But with a good teacher, a new mind-set, and some intelligence, succeeding isn't impossible, is it? But then again, what even is success?",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Your typical time traveling Naruto going to the past to rewrite the future. But this time he's not stupid. He changes things in order to save Konoha but he's keeping secrets especially concerning a certain Gray haired person's actions in the future. totally a kakashi X Naruto story. May change rating in the future.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
