summary,Adventure,Angst,Drama,Family,Friendship,Humor,Hurt_Comfort,Romance
One-shot! Kakashi has a bad nightmare.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"What if sasuke took a different path. Sasuke/Fem-Naruto One-shot, might continue in the future.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"[Oneshot] Boruto, Sarada and Mitsuki have some friendly sparring. Contains BoruSara.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"""I wish to nominate myself as Kazekage."" May the gods of the desert spare her, she already regretted her words. Kazekage Temari.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Naruto has a big Surprise for his father but he needs a little help Namikaze Family fluff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Sakura haunts their small home in grief, feeling already a ghost even while surrounded with beautiful raven-haired children and grandchildren and great-grandchildren. In the months that follow, a select few stare back with her own eyes. Most of them are so like her husband's, though, luciform soot flecked with silver, and she feels so sorry when she looks too long and starts to cry",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Pls respond,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"In a world where Itachi could not massacre the Uchiha, Danzou uses Shisui to thwart the impending threat to peace in Konohagakure.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"When Sakura sets her sights on Sasuke, she's given much needed advice from an unexpected source. It changes some things but not others. Sequel to ""Finishing the Hat""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Itachi didn't want to be alone.,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"[Nejitenmonth2021] Neji certainly did not expect to become madly entranced by the apparition of a twin-buns-haired woman at his cousin and Naruto's wedding. But sometimes, all true love needs to bloom is four weddings, a funeral, and some very meddlesome friends and family. Nejiten, Naruhina, Sasusaku, SaiIno, Shikatema, GaaLee. Rated T for swearing and mild sexual themes.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
