,Summary,Adventure,Angst,Drama,Family,Friendship,Humor,Hurt_Comfort,Romance
0,(One-Shot) Rin notices Sesshomaru's softer side! Rin's point of view older Rin. (Edited for Mistakes),0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,"A one-shot about how Inuyasha sees Kagome looking at him. Very small, and in his point of view. (Edited for Mistakes)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,Kagome comes home to study for an exam but only Sota is home. Grandpa hurt his back and Kagome's mother is staying the night in the hospital. Sota asks a crazy request for his sister. What will Kagome do with Inuyasha in the house with her? Sucky summary. Just read to see what it is.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,"Do you ever wonder what it would be like if Sesshomaru, Inu yokai Lord of the West, the Killing Perfection, had a pretty little necklace of subjugation?",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,"Beyond the cypress trees and the rivers winding through the lowermost valley, Sesshomaru wanders into a secluded, tiny village. Not so long ago, his demonic and hauntingly beautiful appearance would have startled them. Perhaps he's gotten too accustomed to visitation. /Post-Canon. Sessrin. Standalone.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,Just another Inuyasha Christmas story with a twist.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,"Sesshomaru is left only with longing and pain, wishing for his light when Kagome comes his way, once again.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,"A/U One-shot Complete! Kagome and Inuyasha have been married for eight years and have become a little complacent in their relationship with each other. This story explores the complex nature of balancing careers and family, acknowledging that it isn't always easy to try and meet in the middle.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,A good book and an impatient woman. A brief story told in simple words.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,One day Inuyasha gets a abusive step mother who takes him out of school and forces him to do her bidding. As a way to earn money to give to his step mother and cope with his situation he goes on a new journey to secretly become a popular musician and earn enough money to save for himself so that he could one day run away.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,"When Kikyo was alive, she had to repress her desires in order to remain a dutiful priestess. After her death she was able to vent her honesty and feelings that she repressed when she was alive. Showing her love for the half demon she fell for. InuKik, InuYashaxKikyo, Minor InuKag, Minor Kikyo/Kagome, *Oneshot* fluff, feels, time skip",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,"Kagame is left out in the cold for way too long and because of it, she suffers from an extreme case of hypothermia. Due to it, Inuyasha has to be in a very uncomfortable situation.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12,"""He steeps her tea in Angel's Trumpet and stays awake all night to listen to her scream."" Captured by Lord Naraku and raised to be a deadly killer in his wicked war, Kagome was never meant to survive. Not, at least, until the school's poison master takes a special interest in her case. A small, ugly story about a small, ugly man. Mukotsu-centric. SessKag ending. Oneshot.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13,"It's a new school year for Kagome and her friends. But then a newcomer attends the same one. Not just that, that person might have an unknown connection to Kagome.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,"A short story including flashbacks about first love and loss. When Sesshomaru was younger, he befriended Kagome, an inu-hanyou with an incurable disease. Now 50 years later, he spends a day reminiscing on their childhood, recalling all the memories the two of them shared.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15,Just a silly little story about what happens when Sesshomaru encounters a piece of technology from Kagome's world.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,"Kagome gave her number to the wrong guy. Fortunately, Sango and the gang, including a pretty jealous Inuyasha, are there to take care of the situation. High-school AU, Inukag, one-shot.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,Fluffy short about a cold evening during Sesshomaru and Rins travels together.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,"""Whatever our souls are made of..."" The quest is over. Inuyasha is dead. Happily-ever-afters have been handed out at random. Kikyo and Kagome are trapped alone in a time they don't belong in with one soul between them. A short story of love, loss, and things left behind. KagKik. Yuri.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,"From Chap 8 of my ""Ever Us"". Please find a bit of elaboration on the ""colossal marital fight of the century"" where Inuyasha told Sesshomaru that he would hug their children or else. Tessaiga clashing with Tenseiga with such intensity that the earth shook. This story from Professor Kenichi Takahashi's pen. AU/yaoi/Inucest Action genre",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,"Sesshomaru contemplates his past, his motivations and his future.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21,"Amelia has no other way to convey the feelings that swirl and twirl in her chest, delicately. *Nyo!America.* *Inspired by a prompt for AmeLiet Week 2019, Day Seven.*",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,"""I'm Gilbert. Would you like to travel the universe with me?"" - In which they do exactly that.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,"Not all love is given the chance to grow; some of it might be tended to for a little while before it was left abandoned, and some wilted even when they were taken good care of. Unfortunately for them, theirs was the latter, and even if it's a sad fact, what they had among the breaks is a hopeless love. They learn to accept it after some time.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,"Germany and Prussia have never felt able to express their frustrations with one another. Finally, they're able to have the heart-to-heart their family desperately needed for either of them to move on and heal.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,"Kiku Honda didn't need to look out towards the sea to know who had arrived onto his shores. An arrogant voice calls out to him - ""Shouldn't you be offering me tea right about now?""",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,Alfred asks something during a sleepover with Kiku. He doesn't take it well.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
27,"With states seriously considering the Green New Deal, one state makes a stand. (This is based off something that actually happened. I tried to make it as accurate as possible. Warning for politics?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,"A young Aurel Popescu attempts to take on the most difficult task of his time- math homework. When his brother, Vladimir Popescu, prefers not to do it for him, Aurel decides to go to his favorite neighbor, Katyusha.",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
29,"Arthur and Alfred wait for Francis and Matthew to join them for lunch, and while waiting, Alfred decides it's time to share some drastic ideas he's been toying with lately. Arthur does his best to convince the former revolutionary from starting what he is certain would be the approaching acts to a much darker world than the one innocent minds know.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,Little Germany is ill and tries to hide it from his big brother.,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
